dt=5.00e-06, momentum=0.80, tol=1.00e-05, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
003: rms = 23196.078
004: rms = 23196.078
005: rms = 2236000000.000
006: rms = 23196.078
007: rms = 23196.078
008: rms = 400177952.000
009: rms = 23196.078
010: rms = 23196.078
011: rms = 126220.359
012: rms = 23196.078
013: rms = 23196.078
014: rms = 75702.750
015: rms = 23196.078
016: rms = 23196.078
017: rms = 37624.418
018: rms = 23196.078
019: rms = 23196.078
020: rms = 23997.480
021: rms = 23196.078
022: rms = 23196.078
023: rms = 21850.984
024: rms = 21850.984
025: rms = 21850.984
026: rms = 1196129408.000
027: rms = 21850.984
028: rms = 21850.984
029: rms = 31204092.000
030: rms = 21850.984
031: rms = 21850.984
032: rms = 136621.734
033: rms = 21850.984
034: rms = 21850.984
035: rms = 68694.523
036: rms = 21850.984
037: rms = 21850.984
038: rms = 40839.379
039: rms = 21850.984
040: rms = 21850.984
041: rms = 29564.037
042: rms = 21850.984
043: rms = 21850.984
044: rms = 23045.791
045: rms = 0.000
046: rms = 21850.984
047: rms = 1196129408.000
048: rms = 21850.984
049: rms = 21850.984
050: rms = 31204092.000
051: rms = 21850.984
052: rms = 21850.984
053: rms = 136621.734
054: rms = 21850.984
055: rms = 21850.984
056: rms = 68694.523
057: rms = 21850.984
058: rms = 21850.984
059: rms = 40839.379
060: rms = 21850.984
061: rms = 21850.984
062: rms = 29564.037
063: rms = 21850.984
064: rms = 21850.984
065: rms = 23045.791
dt=5.00e-06, momentum=0.80, tol=1.00e-07, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
066: rms = 2391591.500
067: rms = 2391591.500
068: rms = 124439158784.000
069: rms = 2391591.500
070: rms = 2391591.500
071: rms = 14222100.000
072: rms = 2391591.500
073: rms = 2391591.500
074: rms = 9610681.000
075: rms = 2391591.500
076: rms = 2391591.500
077: rms = 5827275.500
078: rms = 2391591.500
079: rms = 2391591.500
080: rms = 3914613.000
081: rms = 2391591.500
082: rms = 2391591.500
083: rms = 2773552.250
084: rms = 2391591.500
085: rms = 2391591.500
086: rms = 2395402.500
087: rms = 0.000
088: rms = 2391591.500
089: rms = 124439158784.000
090: rms = 2391591.500
091: rms = 2391591.500
092: rms = 14222100.000
093: rms = 2391591.500
094: rms = 2391591.500
095: rms = 9610681.000
096: rms = 2391591.500
097: rms = 2391591.500
098: rms = 5827275.500
099: rms = 2391591.500
100: rms = 2391591.500
101: rms = 3914613.000
102: rms = 2391591.500
103: rms = 2391591.500
104: rms = 2773552.250
105: rms = 2391591.500
106: rms = 2391591.500
107: rms = 2395402.500
