dt=5.00e-06, momentum=0.80, tol=1.00e-05, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
003: rms = 14204.178
004: rms = 14204.178
005: rms = 1181037056.000
006: rms = 14204.178
007: rms = 14204.178
008: rms = 39195.430
009: rms = 14204.178
010: rms = 14204.178
011: rms = 27140.309
012: rms = 14204.178
013: rms = 14204.178
014: rms = 25102.684
015: rms = 14204.178
016: rms = 14204.178
017: rms = 20317.197
018: rms = 14204.178
019: rms = 14204.178
020: rms = 16859.682
021: rms = 14204.178
022: rms = 14204.178
023: rms = 14846.375
024: rms = 0.000
025: rms = 14204.178
026: rms = 1181037056.000
027: rms = 14204.178
028: rms = 14204.178
029: rms = 39195.430
030: rms = 14204.178
031: rms = 14204.178
032: rms = 27140.309
033: rms = 14204.178
034: rms = 14204.178
035: rms = 25102.684
036: rms = 14204.178
037: rms = 14204.178
038: rms = 20317.197
039: rms = 14204.178
040: rms = 14204.178
041: rms = 16859.682
042: rms = 14204.178
043: rms = 14204.178
044: rms = 14846.375
dt=5.00e-06, momentum=0.80, tol=1.00e-07, niteratons=25
l_intensity = 1.0000
aligning input volume to GCA.
045: rms = 1816542.125
046: rms = 1816542.125
047: rms = 250251132928.000
048: rms = 1816542.125
049: rms = 1816542.125
050: rms = 538340032.000
051: rms = 1816542.125
052: rms = 1816542.125
053: rms = 3066988.750
054: rms = 1816542.125
055: rms = 1816542.125
056: rms = 2755619.000
057: rms = 1816542.125
058: rms = 1816542.125
059: rms = 2207300.000
060: rms = 1816542.125
061: rms = 1816542.125
062: rms = 1900111.875
063: rms = 1816542.125
064: rms = 1816542.125
065: rms = 1817032.875
066: rms = 0.000
067: rms = 1816542.125
068: rms = 250251132928.000
069: rms = 1816542.125
070: rms = 1816542.125
071: rms = 538340032.000
072: rms = 1816542.125
073: rms = 1816542.125
074: rms = 3066988.750
075: rms = 1816542.125
076: rms = 1816542.125
077: rms = 2755619.000
078: rms = 1816542.125
079: rms = 1816542.125
080: rms = 2207300.000
081: rms = 1816542.125
082: rms = 1816542.125
083: rms = 1900111.875
084: rms = 1816542.125
085: rms = 1816542.125
086: rms = 1817032.875
